Image	OCR
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000838.jpg	['UPCOMING TRUMP TRIALS', 'God', 'Ny AG civil FRAUD Suit OCTOBER 2, 2023', 'FEDERAL Civil DEFAMATION Suit JANUARY 15, 2024', 'MANHATTAN DA Hush MONEy CASE MARCH 25, 2024', 'FEDERAL CLASSIFIED DOCUMENTS CASE MAY 20,2024', 'FEDERAL JANUARY Gth CASE UNSCHEDULED', 'MSNBC', 'LIVE', '0:555', 'IAUS']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000399.jpg	['High-STAKFSRHZ', 'OHIo BALLOT MEASURE COULD DECIDE', 'MSNBC', 'OF ABORTION IN THE STATE', 'Livt', '020m']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000172.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'Livi', 'O.116']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000059.jpg	"['JR1S', ""SmalLeR'SafcR' Lighter"", 'Ci2Eq', 'Talay', 'Eancad', 'MSNBC', 'Livu', 'Oost']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000211.jpg	"['milwaukoo', 'ounantuntina', ""Attorney General Josh Kaul won't"", 'say if fake electors are under', 'investigation after latest Trump', 'indictment', 'Janla Oeolen', 'MSNBC', 'UeaB']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000365.jpg	"['OH SEC . OF STATE ADMITTED ISSUE 1 BALLOT MEASURE', 'MSNBC', 'IS ""100%"" ABOUT STOPPING POSSIBLE ABORTION AMENDMENT', 'IAcMLLluldowe']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000443.jpg	"['farxiga', 'Ask your doctor for FARXIGA', 'for chronic kidney disease', 'For cost and alfordabllity Inform Itlon, Wisit FARXIGA com', 'Myou can""t allord your modication; AstraZoneca may bo ablo to holo', '855.3FaRXiGA', 'AstraZeneca']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000477.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000885.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000755.jpg	[]
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000202.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'JRACHILML Dow']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000194.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'Livi', '0.412#']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000096.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'LiVd', 'Oiogm']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000657.jpg	"['WAPO: TRUMP 2020 ELECTION INDICTMENT SHOWS', 'MSNBC', '""FAKE ELECTOR"" PLOT RAISED CONCERNS OVER LEGAL PERIL', 'LIVE', '0436']"
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000473.jpg	['O3']
MSNBCW_20230808_010000_The_Rachel_Maddow_Show-000093.jpg	['OBJECTS IN MIRROR', 'ARE CLOSER THAN', 'THEY APPEAR', 'MSNBC', 'Livg', '6.0s6']
